country,year,pop,gdp,gdp.growth,pop.growth,invest,trade
Ireland,1955,2916133,6583.309326,0.011433245,-0.00585505,15.26118716,0.617059932
Ireland,1960,2832000,6970.617262,0.036739811,0.003083453,18.21896196,0.66393625
Ireland,1965,2876000,8376.271059,0.039703242,0.005087726,21.74479745,0.742271832
Ireland,1970,2950100,10215.63145,0.027645461,0.014838542,25.51400484,0.766576262
Ireland,1975,3177300,11729.96114,0.035134693,0.013607545,25.65083955,0.964481259
Ireland,1980,3401000,13982.68551,0.003665911,0.008011444,25.82769256,1.018075825
Ireland,1985,3540000,14241.34526,0.040068819,-0.001804728,19.65950578,1.065563181
Ireland,1990,3508200,17400.40475,0.03546937,0.005936334,19.72234784,1.153447591
Ireland,1995,3613890,20776.86935,0.078559428,0.011197818,22.91260336,1.503933116
Ireland,2000,3822000,30772.99312,0.037031289,0.018814511,23.24608455,1.683442486
Israel,1950,1286131,5048.836288,0.026840455,0.064097685,36.04649656,0.149664855
Israel,1955,1772032,5773.970964,0.041138953,0.037875455,29.62070798,0.200081523
Israel,1960,2141495,7092.620075,0.057474551,0.037116218,29.59593924,0.262338685
Israel,1965,2578184,9453.902059,0.054484198,0.02376178,27.17883305,0.521474482
Israel,1970,2903434,12414.29413,0.046412855,0.028866328,33.06033776,0.632292554
Israel,1975,3354242,15656.91754,-0.006211185,0.02163678,28.18632757,0.791519503
Israel,1980,3737473,15178.15027,0.009470818,0.016971459,23.40408327,0.779325749
Israel,1985,4068470,15914.18744,0.024609924,0.019173327,20.88248671,0.725672791
Israel,1990,4477808,17997.9997,0.03157776,0.035701003,28.63238535,0.640295579
Israel,1995,5352901,21076.30504,0.019165709,0.026621222,29.46181877,0.668024395
Israel,2000,6115000,23195.95646,0.005261605,0.019552032,24.0744361,0.767301855
Italy,1950,47105000,5349.791364,0.052050537,0.006384632,22.07417615,0.199700362
Italy,1955,48633000,6940.058796,0.048783082,0.006332981,26.63864243,0.213989105
Italy,1960,50197600,8857.155439,0.043863766,0.007005679,29.32999274,0.256752134
Italy,1965,51987100,11029.17997,0.052938938,0.006338547,24.47365359,0.280102198
Italy,1970,53661100,14371.38641,0.022431532,0.006997845,26.1492624,0.348285517
Italy,1975,55571894,16077.11505,0.040992994,0.003139962,23.43460287,0.427860775
Italy,1980,56451247,19734.37039,0.015462351,0.000989442,22.7162289,0.446614185
Italy,1985,56731215,21320.59619,0.031438608,4.11E-05,23.094197,0.388580988
Italy,1990,56742886,24949.81991,0.012261691,0.001936614,22.67574168,0.384940644
Italy,1995,57295000,26527.31778,0.017005968,0.001699712,22.43868019,0.466874288
Italy,2000,57784000,28881.60543,0.00339264,0.004293877,24.69324953,0.510123764
Jamaica,1953,1446425,3693.078498,0.073702435,0.015854628,29.03497595,0.619515618
Jamaica,1958,1565755,5338.648701,0.02825112,0.016198568,26.83087202,0.67081626
Jamaica,1963,1697847,6148.623102,0.009973988,0.021810769,24.19398531,0.716719563
Jamaica,1968,1893477,6463.029108,0.049468129,0.014551485,31.85876857,0.760124839
Jamaica,1973,2036377,8276.653792,-0.038243957,0.013579235,22.41955494,0.733150566
Jamaica,1978,2179441,6836.11079,-0.014576775,0.011322675,18.21262403,0.954579734
Jamaica,1983,2306386,6355.592255,0.008716075,0.001988447,22.5121122,1.059555748
Jamaica,1988,2329431,6638.695399,0.041103435,0.006538878,28.61731824,1.096838705
Jamaica,1993,2406849,8153.380624,0.013889939,0.012371514,28.15939607,1.068967281
Jamaica,1998,2560432,8739.75657,0.004683998,0.009809833,20.48364893,0.877471245
Jamaica,2003,2689150,8946.85726,0.003429923,0.008364362,25.90130879,0.947538346
Japan,1950,83805000,3118.265331,0.066169696,0.013851999,15.68963886,0.207587276
Japan,1955,89815060,4341.089458,0.067822385,0.009303302,18.25708472,0.209493028
Japan,1960,94091638,6093.5892,0.078955231,0.009932688,24.8220639,0.188691465
Japan,1965,98882534,9043.202988,0.098482749,0.010753968,28.33499615,0.187008871
Japan,1970,104344973,14797.04012,0.030108456,0.013395533,33.72921283,0.209050575
Japan,1975,111573116,17201.03312,0.035043849,0.009169104,31.2316345,0.234099711
Japan,1980,116807309,20495.1586,0.023164259,0.006646509,29.30754777,0.264563775
Japan,1985,120754335,23011.86583,0.042778434,0.004557149,30.50515145,0.188244671
Japan,1990,123537399,28499.94506,0.010062236,0.002899376,31.94547816,0.169381992
Japan,1995,125341350,29970.49325,0.006454369,0.002202378,28.93109202,0.183518964
